OriginCode,DestinCode,WeekDay,HourDeparture,ModelAircraft,Duration
EGGW,EGAA,5,14,A320,47
EGAA,EGGW,5,16,A320,52
EGGW,EGAA,1,13,A320,51
EGAA,EGGW,1,16,A320,52
EGGW,EHAM,2,18,A320,51
EHAM,EGGW,2,20,A320,43
EGNT,EGGD,5,19,A320,43
EGGD,EGNT,5,20,A320,43
EGNT,EGAA,6,19,A320,37
EGAA,EGNT,6,20,A320,46
EGNT,EGAA,7,6,A320,33
EGNT,EGAA,1,19,A320,40
EGAA,EGNT,1,21,A320,35
EGNT,EGAA,2,19,A320,37
EGAA,EGNT,2,20,A320,36
EGNT,EGGD,3,6,A320,44
EGNT,EGGD,4,19,A320,43
EGGD,EGNT,4,20,A320,49
EGNT,EGGD,5,19,A320,41
EGGD,EGNT,5,20,A320,46
EGNT,EGAA,6,19,A320,39
EGAA,EGNT,6,20,A320,33
EGNT,EGAA,7,6,A320,36
EGNT,EGAA,1,19,A320,33
EGAA,EGNT,1,21,A320,30
EGNT,EGAA,2,19,A320,35
EGAA,EGNT,2,20,A320,35
EGNT,EGGD,3,6,A320,56
EGNT,EGGD,4,19,A320,47
EGGD,EGNT,4,20,A320,50
EGNT,EGGD,5,19,A320,44
EGGD,EGNT,5,20,A320,46
EGNT,EGAA,6,19,A320,33
EGAA,EGNT,6,20,A320,38
EGNT,EGAA,7,6,A320,34
EGNT,EGAA,1,19,A320,41
EGAA,EGNT,1,21,A320,39
EGAA,EGNT,2,21,A320,35
EGGP,EHAM,1,18,A319,53
EHAM,EGKK,1,20,A319,48
EGKK,LIMB,3,12,A319,75
EGKK,EHAM,6,18,A319,48
EHAM,EGKK,6,20,A319,41
EGPE,EGKK,7,12,A319,84
EGKK,EGAA,3,16,A319,60
EGAA,EGKK,3,18,A319,54
EGKK,EGPF,4,17,A319,66
EGPF,EGKK,4,18,A319,58
EHAM,EGKK,5,15,A319,52
EGKK,EHAM,1,19,A319,52
EHAM,EGKK,1,20,A319,50
EGKK,EGPD,2,6,A319,70
EGPD,EGKK,2,8,A319,76
EGKK,EGPD,3,17,A319,71
EGPD,EGKK,3,19,A319,66
EGNS,EGKK,4,15,A319,50
EGKK,EGPD,1,6,A319,67
EGPD,EGKK,1,8,A319,74
EGKK,EKCH,2,18,A319,85
EKCH,EGKK,3,5,A319,127
EGKK,EGPF,3,20,A319,57
EGPF,EGKK,3,21,A319,61
EGKK,EDLE,5,5,A319,63
EDLN,EGKK,5,7,A319,60
EGKK,EDDL,6,5,A319,48
EDLE,EGKK,6,7,A319,68
EGKK,EGAA,6,16,A319,58
EGAA,EGKK,6,18,A319,54
EGPH,EGKK,4,18,A320,64
EGKK,EGPD,6,17,A320,65
EGPD,EGKK,6,19,A320,80
EGKK,EHAM,2,13,A320,48
EHAM,EGKK,2,15,A320,54
EGSS,EHAM,2,6,A320,42
EHAM,EGSS,2,7,A320,38
EGSS,EKCH,2,14,A320,76
EKCH,EGSS,2,16,A320,78
EGSS,EGAA,2,18,A320,54
EGAA,EGSS,2,20,A320,48
EGSS,EGAA,3,12,A320,54
EGAA,EGSS,3,14,A320,49
EGSS,EHAM,4,6,A320,45
EHAM,EGSS,4,7,A320,40
EKCH,EGSS,4,16,A320,81
EGSS,EGAA,4,18,A320,52
EGAA,EGSS,4,20,A320,54
EGSS,EHAM,6,6,A320,42
EHAM,EGSS,6,7,A320,37
EGSS,EKCH,6,14,A320,78
EKCH,EGSS,6,16,A320,92
EGSS,EGAA,6,18,A320,46
EGAA,EGSS,6,20,A320,51
EGSS,EHAM,2,6,A320,37
EHAM,EGSS,2,7,A320,40
EKCH,EGSS,2,16,A320,79
EGSS,EGAA,2,18,A320,56
EGAA,EGSS,2,20,A320,47
EGSS,EGAA,3,12,A320,54
EGAA,EGSS,3,14,A320,51
EGSS,EHAM,4,6,A320,40
EHAM,EGSS,4,7,A320,45
EGSS,EGAC,4,18,A320,50
EGAA,EGSS,4,20,A320,47
EGSS,EHAM,6,6,A320,40
EHAM,EGSS,6,7,A320,32
EGSS,EKCH,6,14,A320,82
EGSS,EGAA,6,18,A320,53
EGAA,EGSS,6,20,A320,48
EGSS,EHAM,2,6,A320,37
EHAM,EGSS,2,7,A320,49
EGSS,EKCH,2,14,A320,78
EKCH,EGSS,2,16,A320,85
EGSS,EGAA,2,19,A320,60
EGAA,EGSS,2,20,A320,46
EGSS,EGAA,3,12,A320,59
EGAA,EGSS,3,14,A320,48
EGSS,EHAM,4,6,A320,40
