OriginCode;DestinCode;WeekDay;HourDeparture;ModelAircraft;FlightDuration
EKCH ;EGKK ;7;5;A319;92.9
LIMC ;EHAM ;7;5;A320;83.9
LIMC ;EGKK ;7;5;A319;87.83333333333333
EGPF ;EGPF ;7;6;A319;357.8
EGAA ;EGKK ;7;6;A319;62.8
EGSS ;EGSS ;7;6;A319;139.85
EGSS ;EGSS ;7;6;A319;206.33333333333334
EGPH ;EGPH ;7;6;A319;323.78333333333336
EGGW ;LSGG ;7;6;A319;76.98333333333333
EGGW ;EGGW ;7;6;A319;135.15
EGPH ;EGPH ;7;6;A319;365.9
LESJ ;LFPG ;7;6;A319;106.83333333333333
EGKK ;EGKK ;7;8;A319;203.96666666666667
EGPF ;EGKK ;7;8;A319;210.9
LFML ;EGKK ;7;8;A319;95.7
EKCH ;EGKK ;7;8;A319;93.48333333333333
EHAM ;EGKK ;7;9;A319;52.88333333333333
LSGG ;EGKK ;7;9;A319;314.93333333333334
LIMC ;EGPH ;7;9;A319;407.2
LFPO ;LIMB ;7;9;A320;54.5
EGKK ;EHAM ;7;10;A319;51.93333333333333
EGGD ;LSGG ;7;10;A319;82.83333333333333
EGGW ;EGGW ;7;11;A319;164.36666666666667
EGGW ;EGGW ;7;11;A319;160.05
EGGD ;LSGG ;7;11;A319;281.8666666666667
EGKK ;EGKK ;7;11;A319;235.0
EGGD ;EHAM ;7;11;A319;62.4
EGMC ;EHAM ;7;12;A319;42.93333333333333
EGCC ;EGCC ;7;12;A319;112.93333333333334
EGGP ;LSGG ;7;12;A320;88.15
EGMC ;EGMC ;7;12;A319;175.18333333333334
EGAA ;EGKK ;7;12;A319;247.85
EGGD ;EGGD ;7;12;A320;252.03333333333333
LFPG ;LFPG ;7;12;A319;231.96666666666667
EGKK ;LIMB ;7;12;A319;76.48333333333333
EGCC ;LSGG ;7;12;A320;86.78333333333333
LFBD ;EGKK ;7;12;A319;72.7
;EGKK ;7;12;A319;59.9
EGGD ;EGGD ;7;12;A319;151.86666666666667
EGNT ;EGNT ;7;13;A319;172.86666666666667
EGAA ;EGAA ;7;13;A319;112.96666666666667
EGPF ;EGPF ;7;13;A319;466.5
EHAM ;EGKK ;7;13;A319;58.733333333333334
EGGP ;EGDG ;7;13;A319;38.016666666666666
EGAA ;EGAA ;7;13;A319;453.8833333333333
