PeriodStart;PeriodEnd;AircraftId;AircraftModel;NumFlights
16/09/2013 17:49:45;18/09/2013 17:49:45;2058;A319;6
06/09/2013 12:05:55;08/09/2013 12:05:55;1207;A320;3
04/09/2013 05:57:57;06/09/2013 05:57:57;1474;A319;3
07/09/2013 07:18:50;09/09/2013 07:18:50;1989;A319;8
09/09/2013 06:28:55;11/09/2013 06:28:55;1489;A319;4
08/09/2013 08:07:56;10/09/2013 08:07:56;223;A319;5
24/09/2013 12:40:45;26/09/2013 12:40:45;2061;A319;6
10/09/2013 06:05:53;12/09/2013 06:05:53;594;A319;9
09/09/2013 05:23:05;11/09/2013 05:23:05;366;A319;6
12/09/2013 05:06:59;14/09/2013 05:06:59;22;A319;6
03/09/2013 17:04:51;05/09/2013 17:04:51;1495;A319;5
01/09/2013 06:55:01;03/09/2013 06:55:01;2360;A319;2
01/09/2013 08:00:37;03/09/2013 08:00:37;32;A319;6
25/09/2013 18:56:34;27/09/2013 18:56:34;1488;A319;8
01/09/2013 08:25:45;03/09/2013 08:25:45;1611;A319;3
20/09/2013 16:39:58;22/09/2013 16:39:58;989;A319;3
02/09/2013 20:11:53;04/09/2013 20:11:53;132;A319;4
25/09/2013 05:35:47;27/09/2013 05:35:47;1664;A319;7
15/09/2013 06:23:51;17/09/2013 06:23:51;1929;A319;6
25/09/2013 08:07:58;27/09/2013 08:07:58;1539;A320;2
01/09/2013 10:31:53;03/09/2013 10:31:53;2118;A319;5
23/09/2013 07:21:52;25/09/2013 07:21:52;256;A319;4
03/09/2013 09:02:51;05/09/2013 09:02:51;2203;A319;5
02/09/2013 05:42:56;04/09/2013 05:42:56;1702;A319;7
05/09/2013 04:46:39;07/09/2013 04:46:39;2029;A319;5
13/09/2013 06:20:00;15/09/2013 06:20:00;347;A319;5
01/09/2013 12:04:41;03/09/2013 12:04:41;1928;A319;7
07/09/2013 07:11:42;09/09/2013 07:11:42;1269;A319;6
13/09/2013 17:53:39;15/09/2013 17:53:39;1045;A320;4
18/09/2013 18:17:55;20/09/2013 18:17:55;5;A319;6
04/09/2013 13:10:42;06/09/2013 13:10:42;92;A319;7
01/09/2013 12:40:50;03/09/2013 12:40:50;2302;A320;2
26/09/2013 17:21:35;28/09/2013 17:21:35;973;A319;4
03/09/2013 18:59:57;05/09/2013 18:59:57;1370;A319;4
04/09/2013 17:43:53;06/09/2013 17:43:53;2127;A320;3
02/09/2013 15:29:56;04/09/2013 15:29:56;1635;A319;5
11/09/2013 06:08:33;13/09/2013 06:08:33;1095;A319;6
18/09/2013 05:36:59;20/09/2013 05:36:59;1552;A319;3
22/09/2013 19:41:55;24/09/2013 19:41:55;1267;A319;7
09/09/2013 11:57:54;11/09/2013 11:57:54;1939;A319;5
29/09/2013 12:59:59;01/10/2013 12:59:59;457;A319;6
03/09/2013 15:52:43;05/09/2013 15:52:43;538;A319;6
03/09/2013 05:20:49;05/09/2013 05:20:49;1923;A319;5
02/09/2013 06:06:38;04/09/2013 06:06:38;897;A319;7
04/09/2013 13:54:45;06/09/2013 13:54:45;773;A319;7
03/09/2013 19:01:57;05/09/2013 19:01:57;1898;A319;6
01/09/2013 13:25:58;03/09/2013 13:25:58;851;A319;3
01/09/2013 13:28:59;03/09/2013 13:28:59;329;A320;4
08/09/2013 16:14:58;10/09/2013 16:14:58;589;A320;6
04/09/2013 06:22:16;06/09/2013 06:22:16;2138;A320;7
15/09/2013 15:03:09;17/09/2013 15:03:09;2003;A319;6
01/09/2013 13:46:58;03/09/2013 13:46:58;777;A320;1
16/09/2013 16:50:51;18/09/2013 16:50:51;2080;A319;8
01/09/2013 13:54:53;03/09/2013 13:54:53;888;A319;5
12/09/2013 14:11:47;14/09/2013 14:11:47;1843;A319;8
12/09/2013 15:04:56;14/09/2013 15:04:56;1802;A319;5
13/09/2013 18:16:54;15/09/2013 18:16:54;1813;A320;2
02/09/2013 15:00:57;04/09/2013 15:00:57;154;A319;8
05/09/2013 13:16:43;07/09/2013 13:16:43;2169;A319;5
11/09/2013 18:09:38;13/09/2013 18:09:38;929;A319;6
04/09/2013 06:59:53;06/09/2013 06:59:53;970;A320;3
01/09/2013 14:48:45;03/09/2013 14:48:45;525;A319;2
22/09/2013 08:32:41;24/09/2013 08:32:41;1223;A319;6
04/09/2013 09:06:51;06/09/2013 09:06:51;1912;A319;5
22/09/2013 15:18:48;24/09/2013 15:18:48;663;A319;5
26/09/2013 07:34:49;28/09/2013 07:34:49;971;A319;6
19/09/2013 05:22:48;21/09/2013 05:22:48;1710;A320;3
01/09/2013 16:19:58;03/09/2013 16:19:58;403;A320;4
07/09/2013 05:52:44;09/09/2013 05:52:44;2369;A320;3
02/09/2013 08:10:53;04/09/2013 08:10:53;1882;A319;4
18/09/2013 18:05:51;20/09/2013 18:05:51;1761;A319;5
10/09/2013 08:47:56;12/09/2013 08:47:56;2311;A320;3
01/09/2013 17:28:56;03/09/2013 17:28:56;1152;A319;1
04/09/2013 12:24:56;06/09/2013 12:24:56;207;A319;2
09/09/2013 16:26:57;11/09/2013 16:26:57;759;A319;6
27/09/2013 20:00:49;29/09/2013 20:00:49;1750;A319;6
06/09/2013 09:10:44;08/09/2013 09:10:44;1523;A319;4
26/09/2013 05:12:46;28/09/2013 05:12:46;1011;A319;4
03/09/2013 20:08:52;05/09/2013 20:08:52;29;A319;6
24/09/2013 19:23:00;26/09/2013 19:23:00;549;A319;5
01/09/2013 18:33:53;03/09/2013 18:33:53;794;A319;5
29/09/2013 12:48:56;01/10/2013 12:48:56;2274;A319;5
01/09/2013 19:39:32;03/09/2013 19:39:32;1736;A320;3
12/09/2013 05:30:54;14/09/2013 05:30:54;1373;A319;4
01/09/2013 19:41:50;03/09/2013 19:41:50;1378;A319;3
25/09/2013 07:39:45;27/09/2013 07:39:45;2288;A319;6
19/09/2013 11:20:52;21/09/2013 11:20:52;2313;A319;5
01/09/2013 20:19:53;03/09/2013 20:19:53;2223;A319;5
22/09/2013 12:25:59;24/09/2013 12:25:59;56;A319;7
10/09/2013 05:48:57;12/09/2013 05:48:57;1748;A320;2
12/09/2013 06:17:46;14/09/2013 06:17:46;2349;A319;5
17/09/2013 14:25:50;19/09/2013 14:25:50;1148;A320;5
02/09/2013 15:46:54;04/09/2013 15:46:54;2304;A319;6
16/09/2013 06:06:57;18/09/2013 06:06:57;1039;A320;5
09/09/2013 06:21:57;11/09/2013 06:21:57;1364;A320;2
08/09/2013 18:41:52;10/09/2013 18:41:52;367;A319;4
16/09/2013 08:36:10;18/09/2013 08:36:10;1296;A319;4
18/09/2013 06:05:20;20/09/2013 06:05:20;2362;A319;7
22/09/2013 12:33:53;24/09/2013 12:33:53;1714;A319;9
26/09/2013 15:14:49;28/09/2013 15:14:49;781;A319;6
09/09/2013 11:48:50;11/09/2013 11:48:50;1208;A319;5
02/09/2013 13:36:50;04/09/2013 13:36:50;380;A320;1
22/09/2013 14:43:55;24/09/2013 14:43:55;1732;A319;2
04/09/2013 15:01:30;06/09/2013 15:01:30;11;A319;3
03/09/2013 13:28:56;05/09/2013 13:28:56;2019;A319;4
02/09/2013 15:43:40;04/09/2013 15:43:40;2050;A319;3
15/09/2013 12:23:10;17/09/2013 12:23:10;577;A319;2
11/09/2013 20:32:36;13/09/2013 20:32:36;1693;A319;7
02/09/2013 17:14:56;04/09/2013 17:14:56;2051;A319;2
27/09/2013 18:55:57;29/09/2013 18:55:57;2205;A320;3
18/09/2013 16:38:43;20/09/2013 16:38:43;271;A319;4
17/09/2013 16:11:51;19/09/2013 16:11:51;690;A319;4
02/09/2013 20:18:09;04/09/2013 20:18:09;1388;A319;7
04/09/2013 19:31:53;06/09/2013 19:31:53;855;A319;8
19/09/2013 13:27:58;21/09/2013 13:27:58;360;A319;4
25/09/2013 19:36:10;27/09/2013 19:36:10;930;A319;4
03/09/2013 05:34:58;05/09/2013 05:34:58;2099;A320;1
24/09/2013 07:18:46;26/09/2013 07:18:46;572;A320;3
03/09/2013 06:07:41;05/09/2013 06:07:41;2306;A319;5
19/09/2013 16:43:42;21/09/2013 16:43:42;603;A319;6
28/09/2013 06:54:35;30/09/2013 06:54:35;381;A320;2
25/09/2013 11:50:12;27/09/2013 11:50:12;2318;A319;2
23/09/2013 06:41:50;25/09/2013 06:41:50;1667;A320;3
25/09/2013 18:08:52;27/09/2013 18:08:52;1076;A319;4
29/09/2013 15:43:00;01/10/2013 15:43:00;2;A320;2
08/09/2013 14:32:51;10/09/2013 14:32:51;2397;A320;3
25/09/2013 16:34:11;27/09/2013 16:34:11;1498;A319;5
03/09/2013 14:30:56;05/09/2013 14:30:56;1366;A320;1
24/09/2013 18:53:51;26/09/2013 18:53:51;1719;A320;4
23/09/2013 19:26:55;25/09/2013 19:26:55;1218;A319;6
27/09/2013 18:49:55;29/09/2013 18:49:55;237;A320;3
18/09/2013 17:29:54;20/09/2013 17:29:54;578;A319;3
13/09/2013 05:59:55;15/09/2013 05:59:55;760;A319;4
23/09/2013 08:25:45;25/09/2013 08:25:45;670;A319;5
13/09/2013 17:47:40;15/09/2013 17:47:40;323;A320;2
